root	red:1,blue:4,green:1
seq2	red:2,blue:0,green:0
seq3	red:0,blue:0,green:2
seq4	red:0,blue:0,green:3
seq5	red:0,blue:2,green:0
seq6	red:5,blue:0,green:0
seq7	red:5,blue:0,green:0
seq8	red:0,blue:0,green:2
seq9	red:0,blue:0,green:4
seq10	red:0,blue:0,green:3
seq11	red:0,blue:0,green:3
seq12	red:0,blue:2,green:4
seq13	red:0,blue:2,green:0
seq14	red:0,blue:3,green:0
seq15	red:0,blue:3,green:0
seq16	red:2,blue:0,green:0
seq17	red:0,blue:1,green:2
seq18	red:0,blue:0,green:2
seq19	red:0,blue:0,green:2
seq20	red:0,blue:0,green:2
seq21	red:0,blue:0,green:2
seq22	red:0,blue:2,green:0
seq23	red:0,blue:0,green:3
seq24	red:0,blue:0,green:2
seq25	red:0,blue:2,green:0
seq26	red:8,blue:21,green:6
seq27	red:0,blue:3,green:0
seq28	red:0,blue:0,green:2
seq29	red:2,blue:0,green:0
seq30	red:0,blue:8,green:1
seq31	red:0,blue:4,green:2
seq32	red:2,blue:0,green:0
seq33	red:0,blue:2,green:0
seq34	red:0,blue:6,green:0
seq35	red:0,blue:6,green:3
seq36	red:0,blue:3,green:0
seq37	red:0,blue:2,green:0
seq38	red:0,blue:0,green:2
seq39	red:0,blue:4,green:0
seq40	red:0,blue:2,green:0
seq41	red:1,blue:4,green:1
seq42	red:0,blue:0,green:3
seq43	red:0,blue:0,green:2
seq44	red:0,blue:2,green:0
seq45	red:0,blue:2,green:1
seq46	red:0,blue:1,green:3
seq47	red:0,blue:2,green:0
seq48	red:0,blue:0,green:2
seq49	red:0,blue:2,green:0
seq50	red:0,blue:2,green:0
seq51	red:0,blue:2,green:0
seq52	red:3,blue:0,green:0
seq53	red:0,blue:10,green:0
seq54	red:13,blue:46,green:14
seq55	red:0,blue:0,green:3
seq56	red:0,blue:0,green:3
seq57	red:0,blue:7,green:4
seq58	red:0,blue:0,green:5
seq59	red:0,blue:5,green:0
